鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
中山區,房地(土地+建物)+車位,臺北市中山區北安路554巷1~50號,"3,638.08",住,,,10109,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821221,120.5,3,2,2,有,無,有,31200,259,升降機械,0,0,305414,2774771
內湖區,建物,臺北市內湖區成功路四段30巷28弄1~50號,8.82,,,,10109,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840211,66.49,2,1,1,有,有,無,19000,286,,0,0,309723,2775085
中山區,建物,臺北市中山區民生東路一段1~50號,0,,,,10108,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,951012,32.65,1,1,1,有,有,有,23000,704,,0,0,302852,2772284
大同區,建物,臺北市大同區長安西路151~200號,0,,,,10109,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,810422,425.67,3,0,0,有,有,無,120000,282,,0,0,302070,2771501
松山區,建物,臺北市松山區八德路二段351~400號,0,,,,10109,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,870311,219.83,3,0,0,有,有,無,80000,364,,0,0,305096,2771159
士林區,房地(土地+建物),臺北市士林區中山北路五段699巷1~50號,124,住,,,10110,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,700930,83.59,0,1,1,有,無,有,25500,305,,0,0,303109,2776673
士林區,建物,臺北市士林區文昌路251~300號,193,住,,,10110,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640620,129.19,0,1,1,有,無,無,36000,279,,0,0,302542,2777096
信義區,建物,臺北市信義區信義路五段1~50號,3813,其他,,,10109,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,781128,128.04,3,2,1,有,無,有,51200,400,,0,0,306857,2769488
大安區,建物,臺北市大安區安東街1~50號,0,其他,,,10108,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,701231,136.81,4,2,2,有,有,有,38000,278,,0,0,304718,2770717
大安區,建物,臺北市大安區安和路二段101~150號,0,住,,,10108,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,721114,114.83,2,2,2,有,有,有,39000,340,,0,0,305626,2769120
大安區,建物,臺北市大安區青田街6巷1~50號,0,住,,,10108,土地0建物1車位0,一層,4,店面(店鋪),,加強磚造,,106.22,2,2,2,有,無,無,43000,405,,0,0,303668,2768964
