鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
文山區,房地(土地+建物),臺北市文山區木新路二段201~250號,39.6,住,,,10108,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,84.9,2,2,1,有,無,有,14000,165,,0,0,307322,2764057
大安區,房地(土地+建物),臺北市大安區復興南路一段101~150號,5.38,商,,,10108,土地1建物1車位0,三層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950424,42.51,1,1,1,有,有,有,20000,470,,0,0,304827,2770648
大安區,建物,臺北市大安區仁愛路四段201~250號,10.27,住,,,10108,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670912,78.45,2,2,1,有,有,無,25000,319,,0,0,305751,2770011
北投區,房地(土地+建物),臺北市北投區泉源路1~50號,9.98,住,,,10109,土地2建物1車位0,五層,7,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710226,57.55,1,1,1,有,有,有,11000,191,,0,0,301559,2781499
中正區,建物,臺北市大安區青田街2巷1~50號,0,,,,10109,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0660823,105.42,4,2,1,有,無,無,27000,256,,0,0,302319,2769262
中正區,建物,臺北市中正區羅斯福路四段51~100號,0,,,,10108,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941229,36.36,3,2,2,有,無,無,22000,605,,0,0,303933,2767471
文山區,房地(土地+建物)+車位,臺北市文山區木柵路四段33巷1~50號,14.55,住,,,10109,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971208,49.67,0,1,1,無,有,有,18000,362,坡道平面,42.62,0,307658,2765219
中山區,房地(土地+建物),臺北市中山區合江街188巷1~50號,0,住,,,10108,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601015,88.15,3,1,2,有,有,有,36000,408,,0,0,303714,2771847
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路513巷1~50號,235.01,工,,,10109,土地1建物1車位2,四層,11,辦公商業大樓,工業用,鋼筋混凝土造,0871022,235.01,5,0,0,有,無,有,85000,362,坡道平面,0,0,307457,2774745
內湖區,建物,臺北市內湖區陽光街51~100號,0,,,,10108,土地0建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860227,99.17,3,2,1,有,無,有,15000,151,,0,0,309094,2774258
內湖區,建物,臺北市內湖區星雲街151~200號,0,,,,10108,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841023,99.17,3,1,2,有,無,無,30000,303,,0,0,310130,2774799
內湖區,房地(土地+建物),臺北市內湖區文德路208巷1~50號,27.23,住,,,10108,土地1建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831229,100.17,3,2,2,有,有,有,26700,267,,0,0,308856,2774390
中山區,房地(土地+建物),臺北市中山區民權東路一段1~50號,160.12,商,,,10108,土地1建物1車位0,九層,10,辦公商業大樓,商業用,鋼筋混凝土造,0890630,167.44,0,0,0,無,有,無,75000,448,,0,0,302950,2772846
中山區,房地(土地+建物)+車位,臺北市中山區敬業一路101~150號,0,住,,,10108,土地0建物1車位1,八層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0940127,74.82,1,1,1,有,有,有,33000,441,升降機械,12.92,0,305693,2775183
中山區,房地(土地+建物),臺北市中山區合江街188巷1~50號,0,住,,,10108,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661231,110.01,3,2,2,有,無,有,24000,218,,0,0,304342,2772663
大安區,房地(土地+建物),臺北市大安區永康街13巷1~50號,42.05,住,,,10108,土地1建物1車位0,一層,6,店面(店鋪),見使用執照,鋼筋混凝土造,0890927,173.48,0,0,0,無,有,有,160000,922,,0,0,303506,2769468
大安區,房地(土地+建物),臺北市大安區敦化南路二段1~50號,33.49,其他,,,10108,土地3建物1車位0,六層,18,辦公商業大樓,商業用,鋼筋混凝土造,0770613,364.64,6,1,1,有,有,無,180000,494,,0,0,305309,2769520
萬華區,房地(土地+建物),臺北市萬華區中華路二段301~350號,10.38,住,,,10108,土地2建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0570816,28.05,2,1,1,有,無,有,10000,357,,0,0,300859,2769163
